artist_name,artist_url,date,id,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,type,type_name,verified,version,version_description,votes,hits,datetime
Bill Withers,https://www.ultimate-guitar.com/artist/bill_withers_11594,1170633601,468744,,12353,4.79879,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Aint No Sunshine,approved,public,https://tabs.ultimate-guitar.com/tab/bill_withers/aint_no_sunshine_chords_468744,Am,0,Chords,Chords,0,1,,3190,2323343,2007-02-04
Pink Floyd,https://www.ultimate-guitar.com/artist/pink_floyd_684,1076457600,104578,,776,4.80828,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Wish You Were Here,approved,public,https://tabs.ultimate-guitar.com/tab/pink_floyd/wish_you_were_here_tabs_104578,C,0,Tabs,Tab,0,4,,3177,4735531,2004-02-10
Sam Smith,https://www.ultimate-guitar.com/artist/sam_smith_41350,1396310401,1473600,,15117,4.74284,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Stay With Me,approved,public,https://tabs.ultimate-guitar.com/tab/sam_smith/stay_with_me_chords_1473600,Am,0,Chords,Chords,0,1,,3133,7603980,2014-03-31
Ed Sheeran,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,1400923376,1486901,,2331,4.85072,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Thinking Out Loud,approved,public,https://tabs.ultimate-guitar.com/tab/ed_sheeran/thinking_out_loud_chords_1486901,C,0,Chords,Chords,0,2,,3050,4139190,2014-05-24
The Cranberries,https://www.ultimate-guitar.com/artist/the_cranberries_1779,1246838401,844902,,105,4.84083,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Zombie,approved,public,https://tabs.ultimate-guitar.com/tab/the_cranberries/zombie_chords_844902,Em,0,Chords,Chords,0,2,,3017,3541557,2009-07-05
Bright Eyes,https://www.ultimate-guitar.com/artist/bright_eyes_2378,1104192000,154240,,10871,4.88268,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",First Day Of My Life,approved,public,https://tabs.ultimate-guitar.com/tab/bright_eyes/first_day_of_my_life_chords_154240,C,0,Chords,Chords,0,1,,2986,3735547,2004-12-27
Bastille,https://www.ultimate-guitar.com/artist/bastille_31976,1362355201,1227805,,10949,4.8674,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Pompeii,approved,public,https://tabs.ultimate-guitar.com/tab/bastille/pompeii_chords_1227805,,0,Chords,Chords,0,3,,2981,3532049,2013-03-03
John Lennon,https://www.ultimate-guitar.com/artist/john_lennon_10753,1004486400,9306,,15175,4.78508,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Imagine,approved,public,https://tabs.ultimate-guitar.com/tab/john_lennon/imagine_chords_9306,C,0,Chords,Chords,0,1,Complete chords and lyrics / well-aligned for easy auto-scrolling / short tabs for intro and verse patterns / suggestions for playable voicings and alternative chord choices.,2973,5908634,2001-10-30
Eagles,https://www.ultimate-guitar.com/artist/eagles_1509,1046044800,46190,,10137,4.78228,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hotel California,approved,public,https://tabs.ultimate-guitar.com/tab/eagles/hotel_california_chords_46190,Bm,0,Chords,Chords,0,1,,2912,3316890,2003-02-23
Sam Smith,https://www.ultimate-guitar.com/artist/sam_smith_41350,1401779081,1489018,,15441,4.8488,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Im Not The Only One,approved,public,https://tabs.ultimate-guitar.com/tab/sam_smith/im_not_the_only_one_chords_1489018,F,0,Chords,Chords,0,1,,2884,5325703,2014-06-03
John Denver,https://www.ultimate-guitar.com/artist/john_denver_10167,1319068801,1101747,,26819,4.8466,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Take Me Home Country Roads,approved,public,https://tabs.ultimate-guitar.com/tab/john_denver/take_me_home_country_roads_chords_1101747,G,0,Chords,Chords,0,10,,2875,2547556,2011-10-19
Eagles,https://www.ultimate-guitar.com/artist/eagles_1509,1004486400,14322,,2908,4.80335,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Take It Easy,approved,public,https://tabs.ultimate-guitar.com/tab/eagles/take_it_easy_chords_14322,G,0,Chords,Chords,0,1,,2863,2537202,2001-10-30
Eagles,https://www.ultimate-guitar.com/artist/eagles_1509,1213228801,688698,,10137,4.86758,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Hotel California,approved,public,https://tabs.ultimate-guitar.com/tab/eagles/hotel_california_chords_688698,A,0,Chords,Chords,0,3,,2856,1523959,2008-06-11
Taylor Swift,https://www.ultimate-guitar.com/artist/taylor_swift_16027,1226016001,752550,,4825,4.82243,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",You Belong With Me,approved,public,https://tabs.ultimate-guitar.com/tab/taylor_swift/you_belong_with_me_chords_752550,D,0,Chords,Chords,0,2,,2850,7173951,2008-11-06
Eric Clapton,https://www.ultimate-guitar.com/artist/eric_clapton_8974,1004486400,16131,,3224,4.87008,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Tears In Heaven,approved,public,https://tabs.ultimate-guitar.com/tab/eric_clapton/tears_in_heaven_tabs_16131,E,0,Tabs,Tab,0,1,,2842,7745473,2001-10-30
Bob Dylan,https://www.ultimate-guitar.com/artist/bob_dylan_10212,1062028800,66559,,17395,4.8462,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Knockin On Heavens Door,approved,public,https://tabs.ultimate-guitar.com/tab/bob_dylan/knockin_on_heavens_door_chords_66559,G,0,Chords,Chords,0,2,,2843,3281868,2003-08-27
Snow Patrol,https://www.ultimate-guitar.com/artist/snow_patrol_7220,1145404801,355425,,312,4.78117,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Chasing Cars,approved,public,https://tabs.ultimate-guitar.com/tab/snow_patrol/chasing_cars_chords_355425,A,0,Chords,Chords,0,1,,2838,6100726,2006-04-18
